Zip,Cluster_Labels,Cluster_Desc,City,LAT,LNG,Num_Disp,Total_Pop,Total_Households,Household_Median_Income,Percent_21_and_Older,Percent_60_and_Older,Percent_Male,Pct_Owner_Occupied,Pct_Renter_Occupied
90001,1,"Shopping, Restaurants",Los Angeles,33.973274,-118.24897,7,59832,13669,43360,63.3,10.9,51.7,35.9,64.1
90002,1,"Shopping, Restaurants",Los Angeles,33.948951,-118.24698,1,53302,12917,37285,62.8,10.4,47.7,35,65
90003,1,"Shopping, Restaurants",Los Angeles,33.96335,-118.273936,1,73730,17484,40598,63,10,49,28.3,71.7
90004,1,"Shopping, Restaurants",Los Angeles,34.075721,-118.303017,1,60541,22004,49675,77.5,15.8,49.3,16.6,83.4
90005,2,"Residential, Shopping",Los Angeles,34.059071,-118.303017,0,39732,16781,38491,78.6,16.8,50.4,7.7,92.3
90006,1,"Shopping, Restaurants",Los Angeles,34.050102,-118.292689,0,59576,19337,37072,74,15.6,49.5,9,91
90007,2,"Residential, Shopping",Los Angeles,34.028334,-118.285077,4,42433,11919,27406,69.4,10.8,51.6,12.3,87.7
90008,1,"Shopping, Restaurants",Los Angeles,34.010971,-118.341588,0,31754,14858,43364,80.6,24.8,43.8,33,67
90010,1,"Shopping, Restaurants",Los Angeles,34.061391,-118.3097,0,3822,2029,63112,86.8,23.8,47.7,17.6,82.4
90011,1,"Shopping, Restaurants",Los Angeles,34.007904,-118.259037,4,111165,24433,40940,63.7,9.8,50.6,26,74
90012,1,"Shopping, Restaurants",Los Angeles,34.059483,-118.242048,1,36552,13216,47027,88.3,18.3,61.8,9,91
90013,2,"Residential, Shopping",Los Angeles,34.046022,-118.24625,2,12559,7308,22316,96.1,20.4,63.5,7.8,92.2
90014,1,"Shopping, Restaurants",Los Angeles,34.044754,-118.252737,3,8688,5644,40641,96.8,26.4,59.9,2.6,97.4
90015,2,"Residential, Shopping",Los Angeles,34.040122,-118.26499,7,22651,10270,43890,77.1,10.7,50.8,11.7,88.3
90016,1,"Shopping, Restaurants",Los Angeles,34.028881,-118.353089,4,45899,17218,48715,77.1,18.9,49.9,36.9,63.1
90017,3,Medical,Los Angeles,34.052301,-118.263386,0,27723,11510,35605,75.1,12.4,53.8,4.2,95.8
90018,1,"Shopping, Restaurants",Los Angeles,34.030772,-118.316869,1,53490,16568,45984,72.6,16.6,48.4,30.5,69.5
90019,1,"Shopping, Restaurants",Los Angeles,34.048842,-118.336109,6,64534,24464,56389,79.7,18.9,49.2,27.9,72.1
90020,2,"Residential, Shopping",Los Angeles,34.066361,-118.301648,1,39189,16396,49068,79.1,14.6,48.9,9.3,90.7
90021,1,"Shopping, Restaurants",Los Angeles,34.030124,-118.241779,44,2945,1734,21635,86.8,12.2,61.6,9,91
90023,1,"Shopping, Restaurants",Los Angeles,34.02418,-118.201957,33,46680,11691,42972,67.1,14,50.7,27.5,72.5
90024,2,"Residential, Shopping",Los Angeles,34.06136,-118.440237,3,51627,16515,65855,62.2,14.7,44.5,30.2,69.8
90025,1,"Shopping, Restaurants",Los Angeles,34.045184,-118.450256,3,46883,22015,87280,86.5,17.1,51.3,26.7,73.3
90026,1,"Shopping, Restaurants",Los Angeles,34.076872,-118.265359,2,68906,26045,65269,80.1,15.1,51,23.7,76.3
90027,2,"Residential, Shopping",Los Angeles,34.105462,-118.292368,1,44770,21668,66947,86.4,20.3,48.5,19.2,80.8
90028,0,"Business, Shopping",Los Angeles,34.100722,-118.328218,1,29774,16403,45499,89,17.2,53.8,4.7,95.3
90029,1,"Shopping, Restaurants",Los Angeles,34.089894,-118.294909,3,36668,13997,41998,82.1,19,50.4,10.1,89.9
90031,1,"Shopping, Restaurants",Los Angeles,34.077524,-118.213106,1,39916,11739,48479,74.3,18.5,48.9,31.6,68.4
90032,1,"Shopping, Restaurants",Los Angeles,34.081512,-118.176786,3,48031,13493,57225,73,18.8,49.3,50.2,49.8
90033,1,"Shopping, Restaurants",Los Angeles,34.048564,-118.21152,2,49155,13303,38266,66.3,15.4,48.1,18.7,81.3
90034,2,"Residential, Shopping",Los Angeles,34.028291,-118.402696,1,53861,25248,75714,84.7,13.4,50.9,18.5,81.5
90035,1,"Shopping, Restaurants",Los Angeles,34.054282,-118.383856,1,27272,11816,89337,76.6,20.3,47.7,32.8,67.2
90036,2,"Residential, Shopping",Los Angeles,34.068921,-118.350808,3,37965,18559,80539,82,14.1,46.2,17.3,82.7
90037,1,"Shopping, Restaurants",Los Angeles,34.003494,-118.287097,1,67640,17699,35424,67.8,12.7,50.2,24.1,75.9
90038,2,"Residential, Shopping",Los Angeles,34.088982,-118.324838,2,28580,12229,47116,81,13,53.6,9.1,90.9
90039,1,"Shopping, Restaurants",Los Angeles,34.111602,-118.261257,5,29510,11685,90538,82.2,19.9,50.1,45.5,54.5
90041,1,"Shopping, Restaurants",Los Angeles,34.135382,-118.206849,1,29090,9661,85971,76.3,23.1,47.9,50.7,49.3
90042,1,"Shopping, Restaurants",Los Angeles,34.113322,-118.191429,1,63193,21017,64267,77.7,16.9,49.3,44.9,55.1
90043,1,"Shopping, Restaurants",Los Angeles,33.986731,-118.332906,2,45873,17376,54729,76.7,23.1,48.4,55.3,44.7
90044,1,"Shopping, Restaurants",Los Angeles,33.953861,-118.291946,2,99443,29029,35981,66.2,13.1,47.2,29.4,70.6
90045,1,"Shopping, Restaurants",Los Angeles,33.961521,-118.39345,3,40567,15622,104578,74.4,18.8,47.3,51.6,48.4
90046,0,"Business, Shopping",Los Angeles,34.09715,-118.358268,3,50900,29025,72266,91.5,18.3,54.5,22.6,77.4
90047,1,"Shopping, Restaurants",Los Angeles,33.956872,-118.309078,3,51411,17893,52605,74.2,21.7,44.6,56.6,43.4
90048,1,"Shopping, Restaurants",Los Angeles,34.073161,-118.374067,6,21489,11636,100586,88.9,20.6,45.2,30.2,69.8
90049,2,"Residential, Shopping",Los Angeles,34.061721,-118.472259,0,36418,16720,129688,79.5,25.2,45.9,51,49
90056,1,"Shopping, Restaurants",Los Angeles,33.986513,-118.3696,0,7649,3412,92656,80.1,33.7,38.7,67.1,32.9
90057,2,"Residential, Shopping",Los Angeles,34.062112,-118.277138,0,50152,17298,37700,74.2,14.8,54.5,3.7,96.3
90058,0,"Business, Shopping",Los Angeles,34.001842,-118.221127,9,2718,706,21964,53.1,4.7,41.9,12,88
90059,1,"Shopping, Restaurants",Los Angeles,33.927013,-118.248396,0,46185,10906,44838,60.3,11.1,47.4,47.1,52.9
90061,1,"Shopping, Restaurants",Los Angeles,33.923033,-118.27378,1,27873,7396,42500,68.3,14,47.5,41.9,58.1
90062,1,"Shopping, Restaurants",Los Angeles,34.003872,-118.308857,1,35916,10063,49443,72.7,16.5,47.9,45.9,54.1
90063,1,"Shopping, Restaurants",Los Angeles,34.044884,-118.185937,0,53980,13686,48559,68.9,14.8,49.3,39.8,60.2
90064,0,"Business, Shopping",Los Angeles,34.035412,-118.432177,8,25925,11083,102117,78.5,22.1,49.5,55.2,44.8
90065,2,"Residential, Shopping",Los Angeles,34.108812,-118.227666,1,46461,15414,67479,77.2,19,50,48.6,51.4
90066,2,"Residential, Shopping",Los Angeles,34.002151,-118.42904,2,59167,25785,83899,81.9,20,50.4,36.4,63.6
90067,0,"Business, Shopping",Los Angeles,34.059553,-118.414588,0,2428,1421,118393,92.1,57.3,46,79.6,20.4
90068,2,"Residential, Shopping",Los Angeles,34.115251,-118.331416,2,21092,11316,88535,88.5,19.2,51.2,49.5,50.5
90069,2,"Residential, Shopping",Los Angeles,34.089403,-118.379789,1,20230,12488,93380,93.3,23.2,58.7,36.2,63.8
90071,0,"Business, Shopping",Los Angeles,34.05194,-118.254088,0,126,119,61875,100,5.6,67.5,5.9,94.1
90077,1,"Shopping, Restaurants",Los Angeles,34.104093,-118.451017,1,8382,3173,209531,75.2,32.5,48.8,86.1,13.9
90094,2,"Residential, Shopping",Los Angeles,33.972931,-118.425329,0,9827,4361,155417,75.8,10.6,46.7,39.2,60.8
90210,2,"Residential, Shopping",Los Angeles,34.085532,-118.404269,0,19314,7936,147270,78,34,48.6,73.8,26.2
90211,3,Medical,Los Angeles,34.065662,-118.381466,0,8019,3661,86437,79.6,22.5,45.9,30.2,69.8
90212,1,"Shopping, Restaurants",Los Angeles,34.063841,-118.400258,0,13314,5887,95080,77.1,24.4,48.7,27.2,72.8
90230,1,"Shopping, Restaurants",Los Angeles,33.995064,-118.39501,0,32687,13327,85524,77.3,22.6,47.2,54.2,45.8
90232,0,"Business, Shopping",Los Angeles,34.0197,-118.395957,0,14780,6598,90467,82.1,20.8,47.7,36.3,63.7
